;Unnamed: 0;index_of_processed_files;annotator_2nd_anno;check_fiction_status;Fiktionalitätsstatus_2nd_anno;Fiktionalitätsstatus_unsicher_2nd_anno;Kommentar_2nd_anno;author_forename;author_surname;title_main;title_sub;filepath;year;text_length_sents;text_length_clauses;text_length_tokens;reflective_passages_global;reflective_clauses;reflective_tokens;reflection_score_mean;gi_passages_global;gi_clauses;gi_tokens;nfr_passages_global;nfr_clauses;nfr_tokens;comment_passages_global;comment_clauses;comment_tokens;exception;setting;kolimo_index;annotator;to_annotate_first;to_annotate;author_name;title_main_anno;title_sub_anno;first_publication;Übersetzung_ins_Deutsche;Nicht-deutschsprachig;Nicht-Fiktional;Nicht-erzählend;Kommentar;author_surname_anno;author_forename_anno;author_gender;not_before;not_after;classification;number_of_works;canonisation_score;rank_canon;author_nationality_d_prose;refl_clauses_perc;nfr_clauses_perc;gi_clauses_perc;comment_clauses_perc
0;3.0;3.0;Frida;True;fik;;;Klabund;None;Die Kette;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67361-Klabund.xml;1922.0;22.0;30.0;229.0;4.0;9.0;55.0;0.434286312654314;2.0;7.0;46.0;3.0;8.0;50.0;2.0;7.0;40.0;;;12.0;Benita;FALSCH;WAHR;Klabund;Die Kette;None;1922;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;30.0;26.666666666666668;23.33333333333333;23.33333333333333
25;50.0;50.0;;False;;;;Paul;Ernst;Pantalon;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25318-Ernst__Paul.xml;1920.0;101.0;214.0;1600.0;29.0;80.0;531.0;0.4190523180694127;16.0;65.0;448.0;7.0;17.0;92.0;16.0;32.0;192.0;;;335.0;Jonas;FALSCH;FALSCH;Paul Ernst;Pantalon;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;37.38317757009346;7.943925233644859;30.37383177570093;14.95327102803738
38;75.0;75.0;Frida;True;fik;;;Paul;Ernst;Silvie;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25319-Ernst__Paul.xml;1920.0;112.0;258.0;1882.0;48.0;138.0;908.0;0.4673932144239081;25.0;106.0;717.0;8.0;26.0;138.0;23.0;71.0;409.0;;;542.0;Jonas;FALSCH;FALSCH;Paul Ernst;Silvie;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;53.48837209302325;10.07751937984496;41.08527131782946;27.51937984496124
40;79.0;79.0;;False;;;;Klabund;None;Brigitte;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67373-Klabund.xml;1922.0;370.0;493.0;3382.0;79.0;144.0;836.0;0.4174325964594552;30.0;68.0;416.0;12.0;31.0;186.0;53.0;121.0;708.0;;;574.0;Benita;FALSCH;WAHR;Klabund;Brigitte;None;1922;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;29.20892494929006;6.288032454361055;13.79310344827586;24.543610547667345
53;99.0;99.0;;False;;;;Paul;Ernst;Das grüne Ungeheuer;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25321-Ernst__Paul.xml;1920.0;60.0;142.0;1071.0;15.0;77.0;519.0;0.4314087107600625;9.0;70.0;474.0;3.0;5.0;31.0;4.0;9.0;59.0;;;729.0;Benita;FALSCH;WAHR;Paul Ernst;Das grüne Ungeheuer;None;1920;;;;;;Ernst;Paul;None;1866;1933;FIK;76.0;;;;54.22535211267606;3.5211267605633805;49.29577464788733;6.338028169014084
56;104.0;104.0;Frida;True;fik;;;Paul;Ernst;Der Traum;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25333-Ernst__Paul.xml;1920.0;86.0;201.0;1654.0;37.0;97.0;774.0;0.4614667939758792;19.0;71.0;549.0;7.0;25.0;184.0;16.0;57.0;420.0;;;764.0;Jonas;FALSCH;FALSCH;Paul Ernst;Der Traum;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;48.258706467661696;12.437810945273633;35.32338308457712;28.35820895522388
61;110.0;110.0;;False;;;;Paul;Ernst;Das letzte Lied;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25349-Ernst__Paul.xml;1920.0;73.0;233.0;1837.0;32.0;66.0;464.0;0.4073367371072187;17.0;38.0;286.0;8.0;20.0;150.0;13.0;44.0;293.0;;;817.0;Jonas;FALSCH;FALSCH;Paul Ernst;Das letzte Lied;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;28.32618025751073;8.583690987124463;16.30901287553648;18.88412017167382
109;218.0;218.0;;False;;;;Paul;Ernst;Das Festmahl;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25368-Ernst__Paul.xml;1920.0;76.0;253.0;2055.0;34.0;71.0;601.0;0.3953904069739985;22.0;60.0;508.0;8.0;11.0;110.0;11.0;29.0;251.0;;;1513.0;Jonas;FALSCH;FALSCH;Paul Ernst;Das Festmahl;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;28.063241106719367;4.3478260869565215;23.715415019762844;11.462450592885377
112;226.0;226.0;;False;;;;Klabund;None;Nur ein Viertelstündchen;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67369-Klabund.xml;1922.0;10.0;15.0;155.0;0.0;0.0;0.0;0.3265567465244396;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;1563.0;Benita;FALSCH;WAHR;Klabund;Nur ein Viertelstündchen;None;1922;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;0.0;0.0;0.0;0.0
120;240.0;240.0;Frida;True;fik;;;Klabund;None;Im Russenlager;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67324-Klabund.xml;1918.0;66.0;124.0;1107.0;25.0;62.0;466.0;0.4359862788382396;15.0;53.0;402.0;5.0;13.0;73.0;7.0;13.0;85.0;;;1667.0;Benita;FALSCH;WAHR;Klabund;Im Russenlager;None;1918;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;50.0;10.483870967741936;42.74193548387097;10.483870967741936
